Dyads,neuroData,cond,feltDepth_avg,feltDepth_High1Low0,ConnectionComp_avg,Connection_High1Low0,DMNcnv,FPNcnv,VATcnv,DATcnv,L_dlPFC_less,R_dlPFC_less,mPFC_less,L_TPJ,R_TPJ,L_SPL,R_SPL
3020,1,0,2.5,0,2.833333333,0,0.097363459,0.151528461,0.071244112,-0.0760849,0.16100,0.03155,0.066852942,0.07708,0.046694834,NaN,-0.072140881
3030,1,0,3,1,3.833333333,1,0.07136086,0.097928372,0.125044953,-0.188067191,0.15151,0.10642,0.084940163,0.120332081,-0.02143196,NaN,-0.259925527
3120,1,0,2,0,3,0,0.293628784,-0.047228452,0.005250408,-0.060060834,0.08878,0.08907,0.23082385,-0.207272222,-0.001799758,-0.129744851,-0.071293039
3130,1,0,3,1,4.166666667,1,0.208938063,0.100793401,0.114881275,0.137952359,-0.10631,0.09171,0.079895695,0.131818472,0.251576874,0.128647252,0.143713997
3170,1,0,2,0,3.166666667,0,0.045526901,0.172217596,0.217581669,0.072070976,0.09576,0.12656,0.002671645,0.102114729,0.14982571,-0.015602694,0.169034584
3230,1,0,2,0,2.666666667,0,0.197538456,0.117127656,0.180202772,0.000158411,0.14546,NaN,0.141656133,0.135695075,0.026742556,0.044807007,-0.057861849
4040,1,1,2.5,0,3.666666667,1,-0.072865172,-0.00324082,0.032630105,0.053783954,0.18576,0.05854,-0.008126503,NaN,0.066222419,0.026304932,NaN
4050,1,1,3,1,3.666666667,1,,,-0.079883615,,-0.01018,NaN,0.051759127,-0.091195344,NaN,0.060884024,NaN
4060,1,1,2.5,0,3.833333333,1,0.439913394,0.407280148,0.435343483,0.342219466,0.19644,0.39618,0.327157496,0.327254968,0.469041559,0.264965732,0.317703184
4700,1,1,2,0,3,0,-0.353977457,-0.35422402,-0.285340908,-0.075395319,-0.44149,-0.43463,-0.334995632,-0.231648618,-0.281761762,-0.079893532,0.012000931
4720,1,1,2.5,0,2.333333333,0,-0.154972204,-0.03601185,0.023071416,-0.093345789,0.12428,0.07612,-0.117443041,-0.080264651,-0.09727834,-0.22084763,-0.036836024
5110,1,0,2.5,0,3.166666667,0,0.204324909,0.081698135,0.122817396,-0.004674822,0.12232,0.20399,0.184921195,-0.000706533,0.006634071,0.037958666,-0.030497356
5120,1,0,2.5,0,3.333333333,1,0.091272395,-0.002204847,-0.008195341,0.032253523,-0.01835,-0.10296,0.052596902,0.036341291,0.105713644,-0.037662568,0.038129605
