Dyads,neuroData,cond,ConnectionComp_avg
1030,0,0,2.833333333
1110,0,0,4
1120,0,0,3
1130,0,0,3.166666667
1140,0,0,2.333333333
1150,0,0,2.5
1160,0,0,3.166666667
1210,0,0,3.333333333
1220,0,0,3.666666667
1230,0,0,3
1240,0,0,3.166666667
2110,0,1,3.333333333
2120,0,1,3.5
2130,0,1,2.833333333
2140,0,1,3
2150,0,1,4.166666667
2210,0,1,3.833333333
2220,0,1,3.666666667
2240,0,1,2.666666667
3110,0,0,3.333333333
3160,0,0,3.666666667
3210,0,0,3.166666667
3240,0,0,3.666666667
4000,0,1,3.5
4010,0,1,3.666666667
4020,0,1,3.5
4030,0,1,2.666666667
4710,0,1,3.333333333
4800,0,1,3.666666667
4900,0,1,3.5
5130,0,0,2.666666667
5810,0,0,2.833333333
5820,0,0,3.166666667
6740,0,1,3.333333333
6750,0,1,4.166666667
3020,1,0,2.833333333
3030,1,0,3.833333333
3120,1,0,3
3130,1,0,4.166666667
3170,1,0,3.166666667
3230,1,0,2.666666667
4040,1,1,3.666666667
4050,1,1,3.666666667
4060,1,1,3.833333333
4700,1,1,3
4720,1,1,2.333333333
5110,1,0,3.166666667
5120,1,0,3.333333333
5140,1,0,3.833333333
5150,1,0,3.666666667
5160,1,0,3.166666667
5170,1,0,3.666666667
5190,1,0,3
5210,1,0,4
5310,1,0,3.666666667
5410,1,0,3.5
5420,1,0,3
5430,1,0,3.166666667
5440,1,0,2.666666667
5450,1,0,2.333333333
5460,1,0,2.833333333
5470,1,0,3.666666667
5480,1,0,3.833333333
5490,1,0,3
5510,1,0,3.5
5710,1,0,3.166666667
5720,1,0,3.333333333
5730,1,0,2.333333333
5740,1,0,3
5760,1,0,2.833333333
5770,1,0,3.333333333
5780,1,0,2.166666667
5790,1,0,3.166666667
5830,1,0,3
5840,1,0,3.166666667
5850,1,0,3
6110,1,1,3
6120,1,1,3.666666667
6130,1,1,3.5
6140,1,1,3.166666667
6150,1,1,3.166666667
6160,1,1,3.833333333
6170,1,1,3.666666667
6190,1,1,4.333333333
6210,1,1,3.166666667
6220,1,1,3
6410,1,1,3.666666667
6420,1,1,3.333333333
6430,1,1,3.333333333
6440,1,1,3.833333333
6450,1,1,3.166666667
6460,1,1,3.333333333
6470,1,1,3
6480,1,1,2.833333333
6490,1,1,3.666666667
6710,1,1,3.5
6730,1,1,3.5
6760,1,1,3
6770,1,1,3.166666667
6790,1,1,3.333333333
6810,1,1,4.333333333
6820,1,1,4
6830,1,1,2.666666667
6840,1,1,3.833333333
6850,1,1,3.5
